# wrong name
8.74E+11 0874422e6
4.87E+13 4870004e7
6.07E+29 060740e25
2.44E+12 2443092e6
3.70E+17 037024e13
3.96E+199 39614e195
7.31E+36 731334e31
6.30E+12 6298999e6
5.96E+60 595709e55
3.84E+07 3842535e1
4.22E+49 421657e44
3.54E+08 3542457e2
4.97E+15 4972999e9
3.84E+94 038432e90
4.41E+74 044078e70
7.23E+14 723068e09
9.54E+135 09539e132
3.66E+64 366187e59
2.28E+58 227971e53
# short name
27086635 027086635
15939012 015939012
34090252 034090252
30314634 030314634
59125072 059125072
13669953 013669953
